Reference;Ressource;REL;RFC;Context;TOC12;TOC11;TOC10;TOC9;TOC8;TOC7;TOC6;TOC5;TOC4;TOC3;TOC2;TOC1;Reference_StartPosition;Reference_EndPosition
§ 90 I BVerfGG;BVerfGG;ist;Grundrechtsträgerin;S ist als natürliche Person Grundrechtsträgerin, also ist sie jedermann gemäß § 90 I BVerfGG und somit beschwerdefähig.;;;;;;;;;;;Lösung;Fall 1 - Kunstfreiheit;23405;23419
§ 90 I BVerfGG;BVerfGG;muss;GG;Gemäß Art. 93 I Nr. 4 a GG i.V.m. § 90 I BVerfGG muss es sich um einen Akt der öffentlichen Gewalt handeln.;;;;;;;;;;;Lösung;Fall 1 - Kunstfreiheit;23638;23652
Art. 1 III GG;GG;sind;Gesetzgebung;Unter der öffentlichen Gewalt, die durch die Grundrechte gebunden wird, sind gemäß Art. 1 III GG die Gesetzgebung, vollziehende Gewalt und Rechtsprechung zu verstehen.;;;;;;;;;;;Lösung;Fall 1 - Kunstfreiheit;23795;23808
Art. 93 I Nr. 4a GG;GG;ist;Fall;Dies ist gemäß Art. 93 I Nr. 4a GG i.V.m. § 90 I BVerfGG dann der Fall, wenn die beschwerdeführende Person behauptet, durch die öffentliche Gewalt in einem Grundrecht oder grundrechtsgleichen Recht verletzt zu sein.;;;;;;;;;;;Lösung;Fall 1 - Kunstfreiheit;24347;24366
§ 90 I BVerfGG;BVerfGG;ist;Fall;Dies ist gemäß Art. 93 I Nr. 4a GG i.V.m. § 90 I BVerfGG dann der Fall, wenn die beschwerdeführende Person behauptet, durch die öffentliche Gewalt in einem Grundrecht oder grundrechtsgleichen Recht verletzt zu sein.;;;;;;;;;;;Lösung;Fall 1 - Kunstfreiheit;24374;24388
Art. 5 III GG;GG;liegt;Kunstfreiheit;S wird durch das strafgerichtliche Urteil in der Verbreitung des Liedes gehinCharlotte Schneeberger Lösung Fall 1 5 dert, sodass nicht auszuschließen ist, dass darin ein zu rechtfertigender Eingriff in den sachlichen Schutzbereich der Kunstfreiheit aus Art. 5 III GG liegt.;;;;;;;;;;;Lösung;Fall 1 - Kunstfreiheit;25362;25375
§§ 23 I, 92 BVerfGG;BVerfGG;wurde;Gemäß;Dies ist der Fall, wenn die Verfassungsbeschwerde form- und fristgemäß erhoben wurde.6 Gemäß §§ 23 I, 92 BVerfGG sind die verfahrenseinleitenden Anträge schriftlich und begründet beim Bundesverfassungsgericht einzureichen.;;;;;;;;;;;Lösung;Fall 1 - Kunstfreiheit;27438;27457
§ 93 I 1 BVerfGG;BVerfGG;ist;Gemäß;Gemäß § 93 I 1 BVerfGG ist die Beschwerde binnen eines Monats zu erheben und zu begründen.;;;;;;;;;;;Lösung;Fall 1 - Kunstfreiheit;27913;27929
§ 186 BGB;BGB;zurückzugreifen;Frist;Für die Fristberechnung ist auf die §§ 187 ff. BGB zurückzugreifen (vgl. § 186 BGB).;;;;;;;;;;;Lösung;Fall 1 - Kunstfreiheit;28071;28080
§ 93 I 2 BVerfGG;BVerfGG;beginnt;Frist;Die Frist beginnt gemäß § 93 I 2 BVerfGG mit der Zustellung der Entscheidung am 1.4.2019, die damit das fristauslösende Ereignis im Sinne von § 187 I BGB darstellt.;;;;;;;;;;;Lösung;Fall 1 - Kunstfreiheit;28107;28123
§ 187 I BGB;BGB;darstellt;Sinne;Die Frist beginnt gemäß § 93 I 2 BVerfGG mit der Zustellung der Entscheidung am 1.4.2019, die damit das fristauslösende Ereignis im Sinne von § 187 I BGB darstellt.;;;;;;;;;;;Lösung;Fall 1 - Kunstfreiheit;28225;28236
§ 193 BGB;BGB;verschiebt;Fristende;Bei dem 1.5. handelt es sich jedoch um einen bundesweiten Feiertag, sodass sich das Fristende gemäß § 193 BGB auf den Ablauf des nächsten Werktages und damit auf den 2.5.2019 (Freitag) verschiebt.8 Der X übermittelte den Schriftsatz am 2.5.2019 per Telefax an das Bundesverfassungsgericht, wo dieser vormittags – also noch fristgemäß – einging.;;;;;;;;;;;Lösung;Fall 1 - Kunstfreiheit;28470;28479
Art. 93 I Nr. 4a GG;GG;siehe;Rechten;Charlotte Schneeberger Lösung Fall 1 7 B. Begründetheit Die Verfassungsbeschwerde ist begründet, soweit der beanstandete Akt der öffentlichen Gewalt die beschwerdeführende Person in ihren Grundrechten oder grundrechtsgleichen Rechten verletzt, siehe Art. 93 I Nr. 4a GG.9 In Betracht kommt hier eine Verletzung der Kunstfreiheit aus Art. 5 III 1 Alt. 1 GG. Bei Freiheitsrechten ist eine Grundrechtsverletzung dann gegeben, wenn ein Eingriff in den Schutzbereich vorliegt, der verfassungsrechtlich nicht gerechtfertigt ist.;;;;;;;;;;;Lösung;Fall 1 - Kunstfreiheit;29336;29355
Art. 5 III GG;GG;ist;Kunst;Nach Art. 5 III GG ist Kunst frei.;;;;;;;;;;;Lösung;Fall 1 - Kunstfreiheit;31786;31799
Art. 5 III 1 GG;GG;vereinbaren;Freiheitsgarantie;Da eine wertende Einengung des Kunstbegriffs mit der umfassenden Freiheitsgarantie des Art. 5 III 1 GG nicht zu vereinbaren ist, kommt es bei der verfassungsrechtlichen Einordnung und Beurteilung auf die „Höhe“ der Dichtkunst nicht an.;;;;;;;;;;;Lösung;Fall 1 - Kunstfreiheit;33792;33807
Art. 5 III GG;GG;einzuordnen;Sinne;Siehe auch das entsprechende Kapitel im Lehrbuch.17 Somit ist das Lied nach allen drei Kunstbegriffen als Kunst im Sinne des Art. 5 III GG einzuordnen.;;;;;;;;;;;Lösung;Fall 1 - Kunstfreiheit;34997;35010
Art. 5 III GG;GG;findet;Wortlaut;Im Wortlaut des Art. 5 III GG findet sich keine Formulierung eines Gesetzesvorbehalts, sodass es sich um ein vorbehaltlos gewährleistetes Grundrecht handeln könnte.;;;;;;;;;;;Lösung;Fall 1 - Kunstfreiheit;37152;37165
Art. 5 II GG;GG;könnte;Gesetzesvorbehalt;Andererseits könnte der qualifizierte Gesetzesvorbehalt des Art. 5 II GG auch auf die Kunstfreiheit anwendbar sein.;;;;;;;;;;;Lösung;Fall 1 - Kunstfreiheit;37361;37373
Art. 5 II GG;GG;steht;Schranken;Die Anwendung der Schranken aus Art. 5 II GG steht jedoch im Widerspruch zu der Systematik des Art. 5 GG. Dieser trennt die Gewährleistungsbereiche in einzelne Absätze, sodass Art. 5 III GG als speziellere Norm zu Art. 5 I GG zu lesen ist und damit die für den ersten Absatz geltenden Schranken aus Art. 5 II GG nicht für Art. 5 III GG gelten.;;;;;;;;;;;Lösung;Fall 1 - Kunstfreiheit;37887;37899
Art. 5 GG;GG;trennt;Systematik;Die Anwendung der Schranken aus Art. 5 II GG steht jedoch im Widerspruch zu der Systematik des Art. 5 GG. Dieser trennt die Gewährleistungsbereiche in einzelne Absätze, sodass Art. 5 III GG als speziellere Norm zu Art. 5 I GG zu lesen ist und damit die für den ersten Absatz geltenden Schranken aus Art. 5 II GG nicht für Art. 5 III GG gelten.;;;;;;;;;;;Lösung;Fall 1 - Kunstfreiheit;37950;37959
Art. 5 III GG;GG;lesen;Absätze;Die Anwendung der Schranken aus Art. 5 II GG steht jedoch im Widerspruch zu der Systematik des Art. 5 GG. Dieser trennt die Gewährleistungsbereiche in einzelne Absätze, sodass Art. 5 III GG als speziellere Norm zu Art. 5 I GG zu lesen ist und damit die für den ersten Absatz geltenden Schranken aus Art. 5 II GG nicht für Art. 5 III GG gelten.;;;;;;;;;;;Lösung;Fall 1 - Kunstfreiheit;38031;38044
Art. 5 I GG;GG;lesen;Norm;Die Anwendung der Schranken aus Art. 5 II GG steht jedoch im Widerspruch zu der Systematik des Art. 5 GG. Dieser trennt die Gewährleistungsbereiche in einzelne Absätze, sodass Art. 5 III GG als speziellere Norm zu Art. 5 I GG zu lesen ist und damit die für den ersten Absatz geltenden Schranken aus Art. 5 II GG nicht für Art. 5 III GG gelten.;;;;;;;;;;;Lösung;Fall 1 - Kunstfreiheit;38069;38080
Art. 5 II GG;GG;gelten;Schranken;Die Anwendung der Schranken aus Art. 5 II GG steht jedoch im Widerspruch zu der Systematik des Art. 5 GG. Dieser trennt die Gewährleistungsbereiche in einzelne Absätze, sodass Art. 5 III GG als speziellere Norm zu Art. 5 I GG zu lesen ist und damit die für den ersten Absatz geltenden Schranken aus Art. 5 II GG nicht für Art. 5 III GG gelten.;;;;;;;;;;;Lösung;Fall 1 - Kunstfreiheit;38154;38166
Art. 5 III GG;GG;gelten;Wortlaut;Die Anwendung der Schranken aus Art. 5 II GG steht jedoch im Widerspruch zu der Systematik des Art. 5 GG. Dieser trennt die Gewährleistungsbereiche in einzelne Absätze, sodass Art. 5 III GG als speziellere Norm zu Art. 5 I GG zu lesen ist und damit die für den ersten Absatz geltenden Schranken aus Art. 5 II GG nicht für Art. 5 III GG gelten.;;;;;;;;;;;Lösung;Fall 1 - Kunstfreiheit;38177;38190
Art. 5 II GG;GG;gelten;Wortlaut;Auch der Wortlaut von Art. 5 II GG („Diese Rechte …“) spricht gegen eine Anwendung auf die Kunstfreiheit aus Art. 5 III GG. 3 Klausurtaktik Ausgehend vom Wortlaut der Norm lassen sich hier die unterschiedlichen Möglichkeiten für den Schrankenvorbehalt einander gegenüberstellen und kurz auf den konkreten Sachverhalt beziehen.;;;;;;;;;;;Lösung;Fall 1 - Kunstfreiheit;38221;38233
Art. 5 III GG;GG;spricht;Klausurtaktik;Auch der Wortlaut von Art. 5 II GG („Diese Rechte …“) spricht gegen eine Anwendung auf die Kunstfreiheit aus Art. 5 III GG. 3 Klausurtaktik Ausgehend vom Wortlaut der Norm lassen sich hier die unterschiedlichen Möglichkeiten für den Schrankenvorbehalt einander gegenüberstellen und kurz auf den konkreten Sachverhalt beziehen.;;;;;;;;;;;Lösung;Fall 1 - Kunstfreiheit;38308;38321
Art. 5 II GG;GG;statt;Schranken;Zwar handelt es sich hierbei um keinen besonders problematischen Meinungsstreit, dennoch sollte sich dieser gerade in Anfangssemester-Bearbeitungen wiederfinden.20 Damit findet keine Übertragung der Schranken aus Art. 5 II GG statt.;;;;;;;;;;;Lösung;Fall 1 - Kunstfreiheit;38868;38880
Art. 5 III GG;GG;ist;Schranken;Somit ist Art. 5 III GG nur durch verfassungsimmanente Schranken, also durch Grundrechte Dritter sowie sonstige Rechtsgüter von Verfassungsrang, einschränkbar.;;;;;;;;;;;Lösung;Fall 1 - Kunstfreiheit;38898;38911
§ 90a StGB;StGB;eingeschränkt;Kunstfreiheit;Vorliegend wird die Kunstfreiheit durch § 90a StGB eingeschränkt, der dem Schutz der Existenz und des Bestandes der freiheitlich-demokratischen Verfassungsordnung der Bundesrepublik Deutschland dient.;;;;;;;;;;;Lösung;Fall 1 - Kunstfreiheit;39088;39098
Art. 1 GG;GG;abgeleitet;Prinzipien;Die freiheitlich-demokratische Grundordnung wird aus den Prinzipien der Art. 1 GG und Art. 20 GG abgeleitet, sodass es sich um ein von der Verfassung geschütztes Rechtsgut handelt.;;;;;;;;;;;Lösung;Fall 1 - Kunstfreiheit;39321;39330
Art. 20 GG;GG;abgeleitet;Prinzipien;Die freiheitlich-demokratische Grundordnung wird aus den Prinzipien der Art. 1 GG und Art. 20 GG abgeleitet, sodass es sich um ein von der Verfassung geschütztes Rechtsgut handelt.;;;;;;;;;;;Lösung;Fall 1 - Kunstfreiheit;39335;39345
§ 90a StGB;StGB;ist;Verfassungsmäßigkeit;Verfassungsmäßigkeit der Rechtsgrundlage Von der formellen und materiellen Verfassungsmäßigkeit des § 90a StGB ist auszugehen.21 3 Klausurtaktik Dies war im Bearbeitungshinweis vorgegeben.;;;;;;;;;;;Lösung;Fall 1 - Kunstfreiheit;39533;39543
Art. 5 III GG;GG;beachtet;Grundrecht;Charlotte Schneeberger 12 Fall 1 Lösung 3. Verfassungsmäßigkeit der Einzelentscheidung Die Gerichte müssten bei der Auslegung und Anwendung der strafrechtlichen Vorschrift das Grundrecht der S aus Art. 5 III GG in seiner Bedeutung und Tragweite hinreichend beachtet haben.;;;;;;;;;;;Lösung;Fall 1 - Kunstfreiheit;40048;40061
§ 90a StGB;StGB;müssten;Auslegung;Ein solcher alternativer Aufbau ist in der Lösungsskizze angedeutet.22 Für die Auslegung des § 90a StGB müssten die Gerichte im Wege einer werkgerechten Interpretation den Aussagekern des Kunstwerkes herausgearbeitet haben.;;;;;;;;;;;Lösung;Fall 1 - Kunstfreiheit;40958;40968
§ 90a StGB;StGB;könnten;Anwendung;Die Gerichte könnten bei der Auslegung und Anwendung des § 90a StGB im konkreten Fall auch den Grundsatz der Verhältnismäßigkeit nicht hinreichend berücksichtigt haben.29 aa) legitimer Zweck Die Urteile müssten einen legitimen Zweck verfolgen.30 Der Zweck der Urteile liegt im Schutz der freiheitlich demokratischen Verfassungsordnung durch die Anwendung des § 90a StGB, ist also nicht schlechthin gemeinschädlich und damit legitim. 28 Danger Dan, Das ist alles von der Kunstfreiheit gedeckt, abrufbar unter: https://www.youtu be.com/watch?v=Y-B0lXnierw. 29 Siehe zum Grundsatz der Verhältnismäßigkeit Milas, § 7, im OpenRewi Grundrechte Lehrbuch.;;;;;;;;;;;Lösung;Fall 1 - Kunstfreiheit;45993;46003
§ 90a StGB;StGB;ist;Anwendung;Die Gerichte könnten bei der Auslegung und Anwendung des § 90a StGB im konkreten Fall auch den Grundsatz der Verhältnismäßigkeit nicht hinreichend berücksichtigt haben.29 aa) legitimer Zweck Die Urteile müssten einen legitimen Zweck verfolgen.30 Der Zweck der Urteile liegt im Schutz der freiheitlich demokratischen Verfassungsordnung durch die Anwendung des § 90a StGB, ist also nicht schlechthin gemeinschädlich und damit legitim. 28 Danger Dan, Das ist alles von der Kunstfreiheit gedeckt, abrufbar unter: https://www.youtu be.com/watch?v=Y-B0lXnierw. 29 Siehe zum Grundsatz der Verhältnismäßigkeit Milas, § 7, im OpenRewi Grundrechte Lehrbuch.;;;;;;;;;;;Lösung;Fall 1 - Kunstfreiheit;46295;46305
Art. 5 III 1 GG;GG;ist;Kunstfreiheit;Auf einer abstrakten Ebene ist die Kunstfreiheit aus Art. 5 III 1 GG nicht prinzipiell höher zu gewichten als der Schutz des Bestandes der freiheitlich-demokratischen Grundordnung der Bundesrepublik Deutschland.;;;;;;;;;;;Lösung;Fall 1 - Kunstfreiheit;47973;47988
Art. 1 und 20 GG;GG;lässt;Prinzipien;Charlotte Schneeberger 16 Fall 1 Lösung [dar]“35 und lässt sich somit teilweise an die in Art. 1 und 20 GG enthaltenen Prinzipien anknüpfen, die vom Schutz des Art. 79 III GG umfasst sind.;;;;;;;;;;;Lösung;Fall 1 - Kunstfreiheit;49014;49030
Art. 79 III GG;GG;sind;Schutz;Charlotte Schneeberger 16 Fall 1 Lösung [dar]“35 und lässt sich somit teilweise an die in Art. 1 und 20 GG enthaltenen Prinzipien anknüpfen, die vom Schutz des Art. 79 III GG umfasst sind.;;;;;;;;;;;Lösung;Fall 1 - Kunstfreiheit;49084;49098
§§ 187 ff. BGB;BGB;gibt;Verweis;Zusammenfassung: Die wichtigsten Punkte – Fristberechnung für die Verfassungsbeschwerde: Verweis auf §§ 187 ff. BGB. – Kunstbegriffe und deren Verhältnis zueinander: Es gibt drei verschiedene Definitionen, die aber nicht in einem Konkurrenzverhältnis stehen.;;;;;;;;;;;Lösung;Fall 1 - Kunstfreiheit;50455;50469
Art. 5 III GG;GG;ist;Kunstfreiheit;– Einschränkbarkeit der Kunstfreiheit: Art. 5 III GG ist durch verfassungsimmanente Schranken einschränkbar.;;;;;;;;;;;Lösung;Fall 1 - Kunstfreiheit;50652;50665
§ 90a StGB;StGB;dient;Norm;Doch der Sachverhalt kann auch Hinweise für weitere relevante (einfachgesetzliche) Normen geben – teilweise sind diese abgedruckt, so wie hier § 90a StGB. Oftmals dient euch die entsprechende Norm als Ausgangspunkt für eine saubere Auslegungsarbeit oder kann ein Hinweis für eine Problematik in Bezug auf den Bestimmtheitsgrundsatz sein.40 Die einschlägigen Rechtsnormen müssen so genau wie möglich zitiert werden – das heißt mit Absatz und Satz.;;;;;;;;;;;Lösung;Fall 1 - Kunstfreiheit;63060;63070
Art. 2 GG;GG;ist;Verweis;Beispiel: Ein Verweis auf „Art. 2 GG“ ist nichtssagend, denn es macht einen großen Unterschied, ob ein:e Beschwerdeführer:in in Art. 2 I GG,41 in Art. 2 II 1 GG42 oder in Art. 2 II 2 GG43 verletzt ist.;;;;;;;;;;;Lösung;Fall 1 - Kunstfreiheit;63391;63400
Art. 2 I GG;GG;verletzt;Art.;Beispiel: Ein Verweis auf „Art. 2 GG“ ist nichtssagend, denn es macht einen großen Unterschied, ob ein:e Beschwerdeführer:in in Art. 2 I GG,41 in Art. 2 II 1 GG42 oder in Art. 2 II 2 GG43 verletzt ist.;;;;;;;;;;;Lösung;Fall 1 - Kunstfreiheit;63492;63503
Art. 2 I GG;GG;Siehe;Kahl;41 Siehe zu Art. 2 I GG Kahl, Fall 3, in diesem Fallbuch.;;;;;;;;;;;Lösung;Fall 1 - Kunstfreiheit;63856;63867
Art. 2 II 1 GG;GG;Siehe;Bustami/Kahl;42 Siehe zu Art. 2 II 1 GG Bustami/Kahl, Fall 4, in diesem Fallbuch.;;;;;;;;;;;Lösung;Fall 1 - Kunstfreiheit;63914;63928
Art. 2 II 2 GG;GG;Siehe;Würkert;43 Siehe zu Art. 2 II 2 GG Würkert, § 25.1, im OpenRewi Grundrechte Lehrbuch.;;;;;;;;;;;Lösung;Fall 1 - Kunstfreiheit;63983;63997
Art. 93 I Nr. 4a GG;GG;ff;Zuständigkeit;A. Zulässigkeit I. Zuständigkeit: Art. 93 I Nr. 4a GG, §§ 13 Nr. 8a, 90 ff. BVerfGG Restzeit nach Skizze: 90 min II. Beschwerdefähigkeit S = natürliche Person (+) (III. Prozessfähigkeit: Vertretung durch Anwältin A) IV. Beschwerdegegenstand letztinstanzliches Urteil = Akt der Judikative (+) unproblematisch: kurz!;;;;;;;;;;;Lösung;Fall 1 - Kunstfreiheit;71361;71380
§§ 187 ff. BGB;BGB;ff;Uhr;VII. Form und Frist – Form §§ 23, 92 „schriftlich“ → Telefax (+) – Frist § 93 I 1 = 1 Monat Schwerpunkt (SP) Zulässigkeit Ammar Bustami 28 Fall 1a Lösungsskizze – S. 2: Zustellung hier 1.4.2019 – Ende: 1.5.2019, 24 Uhr (§§ 187 ff. BGB) – Aber: 1.5. = Feiertag (Tag der Arbeit) – § 193 BGB: Fristende am 2.5.2019, 24 Uhr – Frist (+) VIII. Ergebnis: Zulässigkeit (+) B. Begründetheit Verletzung Kunstfreiheit Art. 5 III 1 GG (Bearbeitungshinweis) – BVerfG ≠ Superrevisionsinstanz!;;;;;;;;;;;Lösung;Fall 1 - Kunstfreiheit;72190;72204
