Reference;Ressource;REL;RFC;Context;TOC12;TOC11;TOC10;TOC9;TOC8;TOC7;TOC6;TOC5;TOC4;TOC3;TOC2;TOC1;Reference_StartPosition;Reference_EndPosition
Art. 19 III GG;GG;können;Personen;Erweitert wird das menschenrechtliche Prinzip durch Grundrechte, auf die sich auch juristische Personen berufen können, Art. 19 III GG.  Weiterführendes Wissen Die Grundrechtsberechtigung von Unionsbürger:innen ist im Grundgesetz selbst nicht geregelt.;;;;;;;;;;;§ 1 Grundrechtsfunktionen;Abschnitt 1 Allgemeine Grundrechtslehren;65109;65123
Art. 18 AEUV;AEUV;verbieten;Diskriminierungsverbot;Die europäischen Grundfreiheiten und das Diskriminierungsverbot in Art. 18 AEUV auf unionsrechtlicher Ebene verbieten die Benachteiligung von Unionsbürger:innen gegenüber inländischen Personen.;;;;;;;;;;;§ 1 Grundrechtsfunktionen;Abschnitt 1 Allgemeine Grundrechtslehren;65310;65322
Art. 6 V GG;GG;finden;GG;"Die meisten Grundrechte sind Freiheitsrechte; Gleichheitsrechte finden sich in Art. 3 I–III GG und Art. 6 V GG. Weitere Gleichheitssätze sind darüber hinaus in Art. 33 I–III und 38 I 1 GG niedergelegt.";;;;;;;;;;;§ 1 Grundrechtsfunktionen;Abschnitt 1 Allgemeine Grundrechtslehren;65957;65968
Art. 2 I GG;GG;wird;Handlungsfreiheit;Die allgemeine Handlungsfreiheit in Art. 2 I GG wird auch als allgemeines Freiheitsrecht, die folgenden Grundrechte als spezielle Freiheitsrechte bezeichnet.;;;;;;;;;;;§ 1 Grundrechtsfunktionen;Abschnitt 1 Allgemeine Grundrechtslehren;66096;66107
Art. 1 III, 20 III GG;GG;ergibt;Staates;Die umfassende Grundrechtsbindung des Staates durch Art. 1 III, 20 III GG und die Berechtigung der Grundrechtsträger:innen aus Art. 2 I GG ergibt, dass der verfassungsrechtliche Grundzustand die Freiheit als Abwesenheit von Zwang ist.;;;;;;;;;;;§ 1 Grundrechtsfunktionen;Abschnitt 1 Allgemeine Grundrechtslehren;66550;66571
Art. 2 I GG;GG;ergibt;Grundrechtsträger;Die umfassende Grundrechtsbindung des Staates durch Art. 1 III, 20 III GG und die Berechtigung der Grundrechtsträger:innen aus Art. 2 I GG ergibt, dass der verfassungsrechtliche Grundzustand die Freiheit als Abwesenheit von Zwang ist.;;;;;;;;;;;§ 1 Grundrechtsfunktionen;Abschnitt 1 Allgemeine Grundrechtslehren;66625;66636
Art. 20 IV GG;GG;sind;Art.;Umgekehrt können private Akteur:innen schon deshalb nicht gleichzeitig grundrechtsberechtigt und grundrechtsverpflichtet sein, weil sich das Rechtfertigungserfordernis eines Grundrechtseingriffs und die Gewährleistung der allgemeinen Handlungsfreiheit gegenseitig ausschließen. Enumerative Ausnahmen davon sind Art. 1 I, 9 III und Art. 20 IV GG, die (bis auf Art. 1 I GG) in der grundrechtlichen Fallbearbeitung selten eine Rolle spielen.;;;;;;;;;;;§ 1 Grundrechtsfunktionen;Abschnitt 1 Allgemeine Grundrechtslehren;68367;68380
Art. 1 I GG;GG;sind;Fallbearbeitung;Umgekehrt können private Akteur:innen schon deshalb nicht gleichzeitig grundrechtsberechtigt und grundrechtsverpflichtet sein, weil sich das Rechtfertigungserfordernis eines Grundrechtseingriffs und die Gewährleistung der allgemeinen Handlungsfreiheit gegenseitig ausschließen. Enumerative Ausnahmen davon sind Art. 1 I, 9 III und Art. 20 IV GG, die (bis auf Art. 1 I GG) in der grundrechtlichen Fallbearbeitung selten eine Rolle spielen.;;;;;;;;;;;§ 1 Grundrechtsfunktionen;Abschnitt 1 Allgemeine Grundrechtslehren;68395;68406
Art. 5 III GG;GG;berufen;Wissenschaftsfreiheit;"Das heißt Universitäten können sich auf die Wissenschaftsfreiheit berufen, Art. 5 III GG, aber nicht auf die Rundfunkfreiheit aus Art. 5 I 2 GG; diese wiederum steht den Rundfunkanstalten zu. Zwischen den Grundrechten des Grundgesetzes besteht keine Rangordnung; sie sind grundsätzlich gleichrangig.";;;;;;;;;;;§ 1 Grundrechtsfunktionen;Abschnitt 1 Allgemeine Grundrechtslehren;69598;69611
Art. 5 I 2 GG;GG;steht;Rundfunkfreiheit;"Das heißt Universitäten können sich auf die Wissenschaftsfreiheit berufen, Art. 5 III GG, aber nicht auf die Rundfunkfreiheit aus Art. 5 I 2 GG; diese wiederum steht den Rundfunkanstalten zu. Zwischen den Grundrechten des Grundgesetzes besteht keine Rangordnung; sie sind grundsätzlich gleichrangig.";;;;;;;;;;;§ 1 Grundrechtsfunktionen;Abschnitt 1 Allgemeine Grundrechtslehren;69653;69666
Art. 79 III GG;GG;ergibt;Rahmen;Der Menschenwürde kommt im Verfassungstext eine herausgehobene Stellung zu, was sich systematisch bereits aus der einleitenden Platzierung zu Beginn des Grundrechtskatalogs und der Aufnahme in die Unabänderlichkeit verfassungsrechtlicher Grundsätze im Rahmen des Art. 79 III GG (sogenannte „Ewigkeitsklausel“) ergibt. Abgesehen von der Klassifikation der Menschenwürde gibt es innerhalb der Grundrechte keine Abstufung ihrer Geltung.;;;;;;;;;;;§ 1 Grundrechtsfunktionen;Abschnitt 1 Allgemeine Grundrechtslehren;70924;70938
Art. 1–19 GG;GG;statuiert;Grundrechtsteils;Die Kategorie der grundrechtsgleichen Rechte ist systematisch dadurch begründet, dass die grundrechtsgleichen Rechte außerhalb des Grundrechtsteils der Art. 1–19 GG statuiert sind.;;;;;;;;;;;§ 1 Grundrechtsfunktionen;Abschnitt 1 Allgemeine Grundrechtslehren;71312;71324
Art. 93 I Nr. 4a GG;GG;stellt;Prozessual;Prozessual stellt Art. 93 I Nr. 4a GG die grundrechtsgleichen Rechte mit den Grundrechten gleich.;;;;;;;;;;;§ 1 Grundrechtsfunktionen;Abschnitt 1 Allgemeine Grundrechtslehren;71359;71378
Art. 19 III GG;GG;spielen;Anwendung;Die Differenzierung kann aber zum Beispiel für die Anwendung des Art. 19 III GG eine Rolle spielen.;;;;;;;;;;;§ 1 Grundrechtsfunktionen;Abschnitt 1 Allgemeine Grundrechtslehren;71724;71738
Art. 1 III, 20 III GG;GG;gebunden;Grundrechte;"Die Gewährleistung der grundrechtlichen Freiheiten ist nicht davon abhängig, dass diese Rechte geltend gemacht werden: Auch wenn niemand Verfassungsbeschwerde erhebt, ist der Staat vollumfänglich an die Grundrechte gebunden; Art. 1 III, 20 III GG. Darüber hinaus werden den Grundrechten objektive Wertefunktionen zugeschrieben.";;;;;;;;;;;§ 1 Grundrechtsfunktionen;Abschnitt 1 Allgemeine Grundrechtslehren;73932;73953
Art. 20 III GG;GG;sind;Art.;Denn Rechtsprechung, Verwaltung und Gesetzgebung sind umfassend über Art. 1 III, Art. 20 III GG an die Verfassung gebunden.;;;;;;;;;;;§ 1 Grundrechtsfunktionen;Abschnitt 1 Allgemeine Grundrechtslehren;75286;75300
Art. 20a, 24 II, 26, 72 II GG;GG;gehören;Staatsziele;Deshalb kann das Verständnis der grundrechtsausübenden Person die Auslegung des Schutzgehalts bis zu einer gewissen Grenze prägen. Im Umkehrschluss verbürgen die Grundrechte keine kollektiven Rechtsgüter, das Grundgesetz kennt zum Beispiel kein Grundrecht auf Umweltschutz. Staatszielbestimmungen werden bisher als spezifische Kategorie von Verfassungsnormen verstanden, die zur Verfolgung eines bestimmten Ziels durch den Staat verpflichten, aber keine subjektiven Rechte für Bürger:innen enthalten. Zu den Staatszielen gehören beispielsweise Art. 20a, 24 II, 26, 72 II GG. Staatsziele sind bei allen staatlichen Entscheidungen zu beachten.;;;;;;;;;;;§ 1 Grundrechtsfunktionen;Abschnitt 1 Allgemeine Grundrechtslehren;76629;76658
Art. 20 I GG;GG;ist;Sozialstaatsprinzip;Eine Ausnahme von der klaren Trennung zwischen Staatszielen und Grundrechten ist das Sozialstaatsprinzip in Art. 20 I GG, welches zugleich als Staatsziel und Herleitung des Rechts auf ein menschenwürdiges Existenzminimum i.V.m. Art. 1 I GG herangezogen wird. Davon zu unterscheiden sind die rechtspolitischen Diskussionen um Grundrechte auf Arbeit, auf Kultur und die Debatte um staatliche Schutzpflichten bei Kollektivgefahren wie der Klimakrise. Der offene Kunstbegriff, die Weltanschauung und Religion sind maßgeblich durch das Selbstverständnis der Grundrechtsträger:innen bestimmt, die Grenze ist eine rationale Plausibilitätskontrolle.;;;;;;;;;;;§ 1 Grundrechtsfunktionen;Abschnitt 1 Allgemeine Grundrechtslehren;77043;77055
Art. 1 I GG;GG;herangezogen;Existenzminimum;Eine Ausnahme von der klaren Trennung zwischen Staatszielen und Grundrechten ist das Sozialstaatsprinzip in Art. 20 I GG, welches zugleich als Staatsziel und Herleitung des Rechts auf ein menschenwürdiges Existenzminimum i.V.m. Art. 1 I GG herangezogen wird. Davon zu unterscheiden sind die rechtspolitischen Diskussionen um Grundrechte auf Arbeit, auf Kultur und die Debatte um staatliche Schutzpflichten bei Kollektivgefahren wie der Klimakrise. Der offene Kunstbegriff, die Weltanschauung und Religion sind maßgeblich durch das Selbstverständnis der Grundrechtsträger:innen bestimmt, die Grenze ist eine rationale Plausibilitätskontrolle.;;;;;;;;;;;§ 1 Grundrechtsfunktionen;Abschnitt 1 Allgemeine Grundrechtslehren;77163;77174
Art. 6 IV GG;GG;ist;Beispiel;"Grundrechte sind als Leistungsrechte ausgestaltet, wenn sie Anspruchs-, Schutz-, Verfahrens- und Teilhaberechte beinhalten. Davon zu unterscheiden ist die Frage, ob Grundrechte auch konkrete Leistungsansprüche festlegen, denn solche expliziten Anspruchspositionen finden sich im Grundgesetz nicht; eine Ausnahme ist zum Beispiel Art. 6 IV GG als konkreter Schutzanspruch.";;;;;;;;;;;§ 1 Grundrechtsfunktionen;Abschnitt 1 Allgemeine Grundrechtslehren;81005;81017
Art. 12 GG;GG;folgt;Berufsfreiheit;Beispiel: Aus der Berufsfreiheit des Art. 12 GG folgt kein Anspruch darauf, einen Beruf auch tatsächlich ausüben zu können oder ein „Recht auf Arbeit“ zu haben.;;;;;;;;;;;§ 1 Grundrechtsfunktionen;Abschnitt 1 Allgemeine Grundrechtslehren;81085;81095
Art. 20 I GG;GG;hat;Art.;"Beispiel: Das BVerfG hat den Anspruch auf die Gewährleistung eines menschenwürdigen Existenzminimums durch den Staat aus Art. 1 I i.V.m. Art. 20 I GG und eine Leistungspflicht für Alternativmedizin bei lebensbedrohlicher Krankheit aus Art. 2 I i.V.m. Art. 20 I GG unter engen Voraussetzungen anerkannt. Gleichheitsrechte können ebenfalls eine Teilhabefunktion entfalten; als derivative Leistungsrechte kann aus Gleichheitsgesichtspunkten ein Anspruch auf Zugang zu bereits bestehenden Leistungen folgen.";;;;;;;;;;;§ 1 Grundrechtsfunktionen;Abschnitt 1 Allgemeine Grundrechtslehren;82019;82031
Art. 20 I GG;GG;anerkannt;Art.;"Beispiel: Das BVerfG hat den Anspruch auf die Gewährleistung eines menschenwürdigen Existenzminimums durch den Staat aus Art. 1 I i.V.m. Art. 20 I GG und eine Leistungspflicht für Alternativmedizin bei lebensbedrohlicher Krankheit aus Art. 2 I i.V.m. Art. 20 I GG unter engen Voraussetzungen anerkannt. Gleichheitsrechte können ebenfalls eine Teilhabefunktion entfalten; als derivative Leistungsrechte kann aus Gleichheitsgesichtspunkten ein Anspruch auf Zugang zu bereits bestehenden Leistungen folgen.";;;;;;;;;;;§ 1 Grundrechtsfunktionen;Abschnitt 1 Allgemeine Grundrechtslehren;82133;82145
Art. 12 I GG;GG;kann;Berufsfreiheit;Beispiel: Aus der Berufsfreiheit des Art. 12 I GG i.V.m. Art. 3 I GG kann ein grundsätzlicher Anspruch von Abiturient:innen auf Zulassung zum Hochschulstudium folgen, der aber nur im Rahmen der tatsächlich zur Verfügung stehenden Studienplätze besteht. Die durch den status activus beschriebenen Mitwirkungsrechte gewähren die Mitbestimmung in einem demokratischen Staat.;;;;;;;;;;;§ 1 Grundrechtsfunktionen;Abschnitt 1 Allgemeine Grundrechtslehren;82647;82659
Art. 3 I GG;GG;kann;Anspruch;Beispiel: Aus der Berufsfreiheit des Art. 12 I GG i.V.m. Art. 3 I GG kann ein grundsätzlicher Anspruch von Abiturient:innen auf Zulassung zum Hochschulstudium folgen, der aber nur im Rahmen der tatsächlich zur Verfügung stehenden Studienplätze besteht. Die durch den status activus beschriebenen Mitwirkungsrechte gewähren die Mitbestimmung in einem demokratischen Staat.;;;;;;;;;;;§ 1 Grundrechtsfunktionen;Abschnitt 1 Allgemeine Grundrechtslehren;82667;82678
Art. 38 II GG;GG;gehören;Wahlrechts;Die durch den status activus beschriebenen Mitwirkungsrechte gewähren die Mitbestimmung in einem demokratischen Staat. Grundrechtsträger:innen betätigen hier ihre Freiheit im und für den Staat. Diese Mitwirkungsrechte spielen bisher in der grundrechtlichen Klausurbearbeitung eine zu vernachlässigende Rolle. Beispiel: Dazu gehören die grundrechtsgleichen Rechte des aktiven und passiven Wahlrechts, Art. 38 II GG, aber auch das Recht auf gleichen Zugang zu öffentlichen Ämtern, Art. 33 II GG. ;;;;;;;;;;;§ 1 Grundrechtsfunktionen;Abschnitt 1 Allgemeine Grundrechtslehren;83567;83580
Art. 33 II GG;GG;fordert;Ämtern;Die durch den status activus beschriebenen Mitwirkungsrechte gewähren die Mitbestimmung in einem demokratischen Staat. Grundrechtsträger:innen betätigen hier ihre Freiheit im und für den Staat. Diese Mitwirkungsrechte spielen bisher in der grundrechtlichen Klausurbearbeitung eine zu vernachlässigende Rolle. Beispiel: Dazu gehören die grundrechtsgleichen Rechte des aktiven und passiven Wahlrechts, Art. 38 II GG, aber auch das Recht auf gleichen Zugang zu öffentlichen Ämtern, Art. 33 II GG. ;;;;;;;;;;;§ 1 Grundrechtsfunktionen;Abschnitt 1 Allgemeine Grundrechtslehren;83646;83659
Art. 1 I 2 GG;GG;ist;Grundgesetz;Schutzpflichten sind Freiheitsgewährungen durch den Staat. Expliziter Anknüpfungspunkt staatlicher Schutzpflichten im Grundgesetz ist Art. 1 I 2 GG, welcher die staatliche Gewalt verpflichtet, die Würde des Menschen nicht nur zu achten, sondern auch zu schützen.;;;;;;;;;;;§ 1 Grundrechtsfunktionen;Abschnitt 1 Allgemeine Grundrechtslehren;83992;84005
Art. 6 I GG;GG;schützen;Schutzpflicht;Art. 6 I GG normiert ebenfalls eine ausdrückliche Schutzpflicht.;;;;;;;;;;;§ 1 Grundrechtsfunktionen;Abschnitt 1 Allgemeine Grundrechtslehren;84121;84132
Art. 2 II 1 GG;GG;anerkannt;Ausfluss;Eine staatliche Schutzpflicht für das menschliche Leben ist zudem als Ausfluss des Art. 2 II 1 GG anerkannt, welcher das Recht auf Leben und körperliche Unversehrtheit normiert. Im Gegensatz zur abwehrrechtlichen Dimension der Grundrechte sind Schutzpflichten in Konstellationen relevant, in denen nicht die einzelne Person dem Staat gegenübersteht, sondern die Freiheitsbeeinträchtigung von Dritten ausgeht.;;;;;;;;;;;§ 1 Grundrechtsfunktionen;Abschnitt 1 Allgemeine Grundrechtslehren;84269;84283
§ 826 BGB;BGB;erblickte;Sinne;Das Lüth-Urteil ist eine zentrale und vielrezipierte Entscheidung des BVerfG und gilt als Grundsatzurteil zur grundrechtlichen Dogmatik. Das Urteil behandelt die Aspekte der Grundrechte als „objektive Werteordnung“, der Drittwirkung der Grundrechte und ihre Ausstrahlungs- und Wechselwirkung. Benannt ist es nach Erich Lüth. Lüth war Leiter der Pressestelle der Stadt Hamburg und hatte zum Boykott eines Films („Unsterbliche Geliebte“) des Regisseurs Veit Harlan aufgerufen, der 1940 den antisemitischen, nationalsozialistischen Propagandafilm Jud Süß gedreht hatte. Lüth wurde durch das LG Hamburg zur Unterlassung verurteilt, das in dem Aufruf einen sittenwidrigen Boykott im Sinne des § 826 BGB erblickte. Das BVerfG ordnete Lüths Aufruf hingegen als zulässige Meinungsäußerung ein.;;;;;;;;;;;§ 1 Grundrechtsfunktionen;Abschnitt 1 Allgemeine Grundrechtslehren;90729;90738
Art. 19 II GG;GG;folgt;Art.;Die Bedeutung der objektiven Werteordnung beschreibt, dass Grundrechte als verfassungsrechtliche Grundentscheidung für alle Bereiche des Rechts gelten und den Staat zum Schutz und zur Förderung der tatsächlichen Verwirklichung der Grundrechte verpflichten, unabhängig von einer Betroffenheit einzelner Personen. Die Grundrechte erschöpfen sich danach nicht in ihrer subjektiven Dimension und gelten nicht nur im konkreten Fall der Eingriffsabwehr. Daraus folgt zudem, dass sie in allen Rechtsbereichen gelten. Mittelbar folgt dies auch aus der Anwendung der Art. 1 III, 20 III, Art. 19 II GG und der Funktion von Grundrechten als Verfassungsnormen. Ihre Geltung muss bereits normenhierarchisch über dem einfachen Recht stehen, woraus im Umkehrschluss folgt, dass es einfachrechtlich keine grundrechtsfreien Bereiche geben kann. Die Interpretation als objektive Werteordnung geht aber darüber hinaus.;;;;;;;;;;;§ 1 Grundrechtsfunktionen;Abschnitt 1 Allgemeine Grundrechtslehren;91604;91617
Art. 9 III 2 GG;GG;regelt;Gesetzgeber;Eine solche Ausnahme regelt allein Art. 9 III 2 GG. Der Gesetzgeber, welcher einfachgesetzliche Normen erlässt, ist unabhängig davon, ob es sich dabei um privatrechtliche Normen handelt oder nicht, an die Grundrechte gebunden.;;;;;;;;;;;§ 1 Grundrechtsfunktionen;Abschnitt 1 Allgemeine Grundrechtslehren;93628;93643
Art. 19 II GG;GG;absichert;Wesensgehalts36;Gängig ist die Differenzierung zwischen Institutsgarantien, den privatrechtlich ausgestalteten Instituten (Eigentum, Erbrecht und Ehe), und institutionellen Garantien (Berufsbeamtentum, kommunale Selbstverwaltungsgarantie), die öffentlich-rechtlichen Strukturen in einem Kernbestand verfassungsrechtlich absichern sollen. Die Einrichtungsgarantien sind deshalb begrifflich weiter als die Garantie des Wesensgehalts , Art. 19 II GG, der ebenfalls einen verfassungsrechtlichen Kernbestand absichert, sich aber nur auf Grundrechte bezieht.;;;;;;;;;;;§ 1 Grundrechtsfunktionen;Abschnitt 1 Allgemeine Grundrechtslehren;97051;97064
Art. 2 II 3 GG;GG;wird;Ausnahme;Diskutiert wird, ob Art. 2 II 3 GG eine spezielle Ausnahme zu Art. 19 II GG ist, da je nach dogmatischem Verständnis des Wesensgehalts zum Beispiel ein tödlicher Rettungsschuss durch die Polizei sonst nie verfassungskonform sein könnte.;;;;;;;;;;;§ 1 Grundrechtsfunktionen;Abschnitt 1 Allgemeine Grundrechtslehren;97370;97384
Art. 19 II GG;GG;ist;Ausnahme;Diskutiert wird, ob Art. 2 II 3 GG eine spezielle Ausnahme zu Art. 19 II GG ist, da je nach dogmatischem Verständnis des Wesensgehalts zum Beispiel ein tödlicher Rettungsschuss durch die Polizei sonst nie verfassungskonform sein könnte.;;;;;;;;;;;§ 1 Grundrechtsfunktionen;Abschnitt 1 Allgemeine Grundrechtslehren;97412;97425
Art. 16a GG;GG;ist;Asylrecht;Beispiel: Das Asylrecht aus Art. 16a GG ist ein stark verfahrensabhängiges Grundrecht (Abschiebungsfälle).;;;;;;;;;;;§ 1 Grundrechtsfunktionen;Abschnitt 1 Allgemeine Grundrechtslehren;99732;99743
Art. 1 I GG;GG;folgt;Grundrechtsfähigkeit;Entsprechend der Menschenwürdegarantie des Art. 1 I GG folgt die Grundrechtsfähigkeit bereits aus dem Menschsein und der daraus folgenden Subjektsqualität natürlicher Personen.;;;;;;;;;;;§ 2 Grundrechtsberechtigung Allgemein;Abschnitt 1 Allgemeine Grundrechtslehren;102598;102609
Art. 18 GG;GG;ausgesprochen;Grundrechtsverwirkung;In Ausnahmefällen kann eine Person zwar abstrakt grundrechtsfähig, im konkreten Fall jedoch nicht grundrechtsberechtigt sein, wenn sie sich beispielsweise als Ausländer:in nicht auf das in Betracht kommende Grundrecht berufen kann oder wenn durch das BVerfG eine Grundrechtsverwirkung gemäß Art. 18 GG ausgesprochen wurde.;;;;;;;;;;;§ 2 Grundrechtsberechtigung Allgemein;Abschnitt 1 Allgemeine Grundrechtslehren;103420;103430
§ 90 I BVerfGG;BVerfGG;ist;Beschwerdefähigkeit;Klausurtaktik Ist in der Klausur ein Gutachten über die Erfolgsaussichten einer Verfassungsbeschwerde anzufertigen, so wird die Grundrechtsfähigkeit bereits in der Zulässigkeit bei dem Prüfungspunkt Beschwerdefähigkeit gemäß § 90 I BVerfGG relevant. In der Begründetheitsprüfung ist die Grundrechtsfähigkeit Teil der Prüfung der Eröffnung des persönlichen Schutzbereichs. Siehe hierzu den Fall 6 zur Versammlungsfreiheit im OpenRewi Grundrechte Fallbuch.;;;;;;;;;;;§ 2 Grundrechtsberechtigung Allgemein;Abschnitt 1 Allgemeine Grundrechtslehren;103679;103693
Art. 1 I GG;GG;zählen;Menschenwürde; Zu den Jedermannsgrundrechten zählen die Menschenwürde (Art. 1 I GG), die allgemeine Handlungsfreiheit (Art. 2 I GG), das allgemeine Persönlichkeitsrecht (Art. 2 I in Verbindung mit 1 I GG), das Recht auf Leben und körperliche Unversehrtheit (Art. 2 II 1 GG), die Freiheit der Person (Art. 2 II 2, 104 GG), der allgemeine Gleichheitssatz (Art. 3 I GG), der Gleichberechtigungsauftrag (Art. 3 II GG), die besonderen Diskriminierungsverbote (Art. 3 III GG), die Religionsfreiheit (Art. 4 GG), die Meinungsfreiheit und die Informationsfreiheit (Art. 5 I 1 GG), die Pressefreiheit (Art. 5 I 2 GG), die Kunst- und Wissenschaftsfreiheit (Art. 5 III 1 GG), der Schutz von Ehe und Familie (Art. 6 GG), die Koalitionsfreiheit (Art. 9 III 1 GG), die Vertraulichkeit der Kommunikation (Art. 10 GG), die Unverletzlichkeit der Wohnung (Art. 13 GG), die Eigentumsfreiheit (Art. 14 GG) und die Rechtsweggarantie (Art. 19 IV 1 GG).;;;;;;;;;;;§ 2 Grundrechtsberechtigung Allgemein;Abschnitt 1 Allgemeine Grundrechtslehren;105640;105651
Art. 2 I GG;GG;zählen;Handlungsfreiheit; Zu den Jedermannsgrundrechten zählen die Menschenwürde (Art. 1 I GG), die allgemeine Handlungsfreiheit (Art. 2 I GG), das allgemeine Persönlichkeitsrecht (Art. 2 I in Verbindung mit 1 I GG), das Recht auf Leben und körperliche Unversehrtheit (Art. 2 II 1 GG), die Freiheit der Person (Art. 2 II 2, 104 GG), der allgemeine Gleichheitssatz (Art. 3 I GG), der Gleichberechtigungsauftrag (Art. 3 II GG), die besonderen Diskriminierungsverbote (Art. 3 III GG), die Religionsfreiheit (Art. 4 GG), die Meinungsfreiheit und die Informationsfreiheit (Art. 5 I 1 GG), die Pressefreiheit (Art. 5 I 2 GG), die Kunst- und Wissenschaftsfreiheit (Art. 5 III 1 GG), der Schutz von Ehe und Familie (Art. 6 GG), die Koalitionsfreiheit (Art. 9 III 1 GG), die Vertraulichkeit der Kommunikation (Art. 10 GG), die Unverletzlichkeit der Wohnung (Art. 13 GG), die Eigentumsfreiheit (Art. 14 GG) und die Rechtsweggarantie (Art. 19 IV 1 GG).;;;;;;;;;;;§ 2 Grundrechtsberechtigung Allgemein;Abschnitt 1 Allgemeine Grundrechtslehren;105688;105699
